github.com/AlDanial/cloc v 2.06  T=6.76 s (234.9 files/s, 27163.4 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                    blank        comment           code
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Masters\SeparatedMasterPackage.cs                                                                              38              1            300
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\AGroup.cs                                                                                              65             40            300
.\mutagen-tmp\Mutagen.Bethesda.Core\Strings\TranslatedString.cs                                                                                            41             47            295
.\mutagen-tmp\Mutagen.Bethesda.Core\Environments\GameEnvironment.cs                                                                                        62             36            294
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\Internals\Implementations\Internal\ImmutableLoadOrderLinkCacheCategory.cs                                30             27            288
.\MunitionAutoPatcher\Services\Implementations\OrchestratorService.cs                                                                                      29              0            285
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\Internals\Implementations\Internal\ImmutableLoadOrderLinkCacheContextCategory.cs                         25             17            285
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Analysis\RecordLocator.cs                                                                                      32              0            283
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Furniture.cs                                                                                 37             15            282
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Headers\MajorRecordHeader.cs                                                                            94            298            278
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Assets\AssetLink.cs                                                                                            62              7            276
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Extensions\LinkCacheConstructionMixIn.cs                                                                       28            194            276
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\ObjectTemplate.cs                                                                        11              0            273
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Npc.xml                                                                                       0              0            268
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\FormLinkBinaryTranslation.cs                                                               27              0            266
.\README.md                                                                                                                                                70              0            263
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\ModContext.cs                                                                                            50             35            259
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Overlay\OverlayStream.cs                                                                                68              0            256
.\tests\AutoTests\Program.cs                                                                                                                               23             13            253
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\PlacedObject.cs                                                                              20             24            252
.\PR_SUMMARY.md                                                                                                                                            58              0            251
.\MunitionAutoPatcher\Services\Implementations\MutagenV51EnvironmentAdapter.cs                                                                             30              6            249
.\MunitionAutoPatcher\Services\Implementations\ReverseReferenceCandidateProvider.cs                                                                        40             13            249
.\mutagen-tmp\Mutagen.Bethesda.Core\Extensions\HasModsMixIn.cs                                                                                             32            216            249
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Extensions\ModContextExt.cs                                                                                        14              0            249
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\Internals\Implementations\Internal\ImmutableLoadOrderLinkCacheSimpleContextCategory.cs                   22             17            243
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\PlacedObject.xml                                                                              0              0            242
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Quest.xml                                                                                     0              0            242
.\MunitionAutoPatcher\Services\Implementations\ReverseMapConfirmer.cs                                                                                      35             14            240
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Streams\MutagenWriter.cs                                                                                44             48            237
.\DECISIONS_old.md                                                                                                                                         62              0            235
.\MunitionAutoPatcher\App.xaml.cs                                                                                                                          27             28            233
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Worldspace.cs                                                                                21              0            231
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\ImageSpace.cs                                                                                15              0            230
.\MunitionAutoPatcher\Services\Implementations\ConfigService.cs                                                                                            29             11            226
.\mutagen-tmp\Mutagen.Bethesda.Core\Translations\Binary\EnumBinaryTranslation.cs                                                                           16              0            225
.\CONTRIBUTING.md                                                                                                                                          78              0            217
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Holotape.cs                                                                                  12              2            214
.\MunitionAutoPatcher\Services\Implementations\DiagnosticWriter.cs                                                                                         27             11            212
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\ModInstantiator.cs                                                                                     21             15            212
.\MunitionAutoPatcher\AppLogger.cs                                                                                                                         20             21            211
